"","Name","Location","YearRound","Handicap","Borough","Lat","Lon"
"1","100% Playground","Glenwood Road, East 100 & East 101 streets","Yes","No","Brooklyn",39.9294559,-99.3096789
"2","174th Street Playground","East 174 Street, Stratford Avenue, Bronx River Avenue","Yes","No","Bronx",40.8276779,-73.9260176
"3","227 Street Playground","Bronx Boulevard between East 226 and East 228 streets","Yes","Yes","Bronx",40.8897285,-73.863865
"4","Abe Lincoln","East 135 Street, between Madison & 5 avenues","Yes","No","Manhattan",43.0730517,-89.4012302
"6","Agnes Haywood Playground","East 215 Street, Barnes Avenue, East 216 Street","Yes","No","Bronx",32.8233438,-96.5970766
"7","Albemarle Park","Albermarle Road & Dahill Road","Yes","Yes","Brooklyn",32.3397807,-90.2038814
"8","Albert J. Parham Playground","Adelphi Street, Clermont, DeKalb & Willoughby avenues","Yes","Yes","Brooklyn",41.9294736,-88.7503647
"9","Alexander Hamilton Playground","Hamilton Place, West 140 to West 141 streets","Yes","No","Manhattan",41.2795964,-82.2451306
"10","Alfred E. Smith Park","Catherine Slip, Madison & South streets","Yes","No","Manhattan",43.0730517,-89.4012302
"13","Alley Park (PS 213)","67 Avenue & 230 Street","Yes","No","Queens",25.9478599,-80.3073243
"17","Alley Pond Park (Horatio Playground)","Horatio Parkway and 50 Avenue","Yes","No","Queens",40.758232,-73.7531418
"18","Alstyne Playground","Alystine Avenue & 102 Street","Yes","No","Queens",40.7433542,-73.8636818
"20","Ampere Playground (PS 64)","101 Avenue & 82 Street","Yes","No","Queens",40.687565,-73.834403
"21","Andrews Playground","49 Avenue, Vernon Boulevard, 5 Street","No","No","Queens",42.2416217,-71.7980731
"26","Arrow Community Garden","35th Street, between 35th and 36th Avenue","Yes","No","Queens",29.9373349,30.8978832
"27","Asser Levy","Asser Levy Place & East 24-25 streets","Yes","No","Manhattan",40.7365603,-73.9757719
"30","Astoria Heights Playground","30 Road, 45 to 46 streets","Yes","No","Queens",29.9421044,30.9277925
"33","Aubondale Playground","170-171 streets, 33-35 avenues","Yes","No","Queens",40.6788906,-90.4634925
"34","Audubon Playground","West 170 Street & Audubon Avenue","Yes","No","Manhattan",40.4713663,-94.0550188
"35","Augustus St. Gaudens","East 19 to East 20 streets, 2 Avenue","Yes","No","Manhattan",29.9409205,30.9198551
"36","Bailey Playground","Bailey Avenue, Weast 233-West 238 streets","Yes","No","Bronx",39.1729522,-90.7877677
