"","zip","Name","Location","YearRound","Handicap","Borough","Lat","Lon","population"
"1","10001","Chelsea Park","West 27 Street & 9 Avenue","Yes","No","Manhattan",40.7501252,-74.0012230555722,21102
"2","10001","Chelsea Recreation Center","South of West 25 Street, 9 to 10 avenues","Yes","Yes","Manhattan",40.74838,-74.002,21102
"3","10002","Hamilton Fish Park (Recreation Center)","Between East Houston & Stanton streets","Yes","Yes","Manhattan",40.7197972,-73.9808361521585,81410
"4","10002","Sara D. Roosevelt Park","East Houston Street to Canal Street","Yes","Yes","Manhattan",40.7223972,-73.9916358,81410
"5","10002","Coleman Square Playground","Between Cherry & Monroe streets","Yes","No","Manhattan",40.7111111,-73.993611,81410
"6","10002","East River Park (10th Street)","Northern extreme of park","Yes","No","Manhattan",40.718547,-73.9741378403236,81410
"7","10002","East River Park (Track Building)","East 6 Street & FDR Drive","Yes","No","Manhattan",40.718547,-73.9741378403236,81410
"8","10002","Little Flower Playground","Madison Street opposite Jefferson Street","No","Yes","Manhattan",40.7122222,-73.9883332,81410
"9","10009","Dry Dock Playground","East 10 Street & Szold Place, Avenue D","No","No","Manhattan",40.7255556,-73.9755555,61347
"10","10009","McKinley Playground","Avenue A, East 3-East 4 streets","No","No","Manhattan",40.7242535,-73.9857810380966,61347
"11","10010","Augustus St. Gaudens","East 19 to East 20 streets, 2 Avenue","Yes","No","Manhattan",40.7356292,-73.9823601,31834
"12","10010","Asser Levy","Asser Levy Place & East 24-25 streets","Yes","No","Manhattan",40.7365603,-73.9757719,31834
"13","10012","Vesuvio Playground","Spring & Thompson streets","Yes","Yes","Manhattan",40.72522185,-74.002597804206,24090
"14","10013","Rolf Henry Playground","New York & Clarkson avenues","Yes","No","Brooklyn",40.7127837,-74.0059413,27700
"15","10013","Lincoln Terrace Park (Arthur S. Somers Playground)","East New York, Rochester avenues, Eastern Parkway,Buffalo Avenue","Yes","No","Brooklyn",40.7127837,-74.0059413,27700
"16","10016","St. Vartan Park","East 35-East 36 streets, between 1 & 2 avenues","Yes","Yes","Manhattan",40.74514395,-73.9736882551076,54183
"17","10017","Robert Moses Playground","1 Avenue, East 41 to East 42 streets","Yes","No","Manhattan",40.7483333,-73.9697221,16575
"18","10018","Whitestone Playground (PS 193)","12 Avenue & 153 Street","Yes","No","Queens",40.7607442,-74.002077,5229
"19","10021","St. Catherine's Park","East 67-68 streets, 1 Avenue","Yes","No","Manhattan",40.764625,-73.9583262,43631
"20","10021","Carl Schurz Park","East 84 Street & East End Avenue","Yes","Yes","Manhattan",40.7753294,-73.943459342501,43631
"21","10023","Central Park (West 61st)","West Drive, Central Park West, & 65th Street Transverse","No","No","Manhattan",40.7692746,-73.9810291,60998
"22","10024","Sol Bloom Playground","Columbus Avenue, West 91 to West 92 streets, Central Park West","Yes","No","Manhattan",40.7828647,-73.9653551,59283
"23","10024","Central Park Delacorte Comfort Station","Mid-Park at 80th Street","Yes","Yes","Manhattan",40.7830603,-73.9712488,59283
"24","10024","John Jay Park & Pool","East 76-East 78 streets & Cherokee Place","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"25","10024","Highbridge Park-Wallenberg Playground","W 189 St & Amsterdam Ave","No","Yes","Manhattan",40.7830603,-73.9712488,59283
"26","10024","Central Park (Tavern on The Green)","Central Park","No","No","Manhattan",40.7828647,-73.9653551,59283
"27","10024","Frederick Johnson Park","7 Avenue, West 150-151 streets","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"28","10024","General Douglas MacArthur Park","East 49 Street & East River Drive","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"29","10024","Playground Ninety Six (XCVI)","2 Avenue, East 96 to East 97 streets","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"30","10024","Msgnr. Kett","West 204 Street & Nagle Avenue","Yes","No","Manhattan",40.7830603,-73.9712488,59283
"31","10024","Central Park (Ramble)","Central Park","No","No","Manhattan",40.7828647,-73.9653551,59283
"32","10025","Riverside Park (Neufeld Playground)","West 76 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"33","10025","Riverside Park (Hippo Playground)","West 91 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"34","10025","Central Park (Lasker)","Central Park at 107th Street","Yes","Yes","Manhattan",40.7987267,-73.9595458,94600
"35","10025","Riverside Park (River Run Playground)","West 83 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"36","10025","Riverside Park (Riverbank Playground)","West 142 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"37","10025","Riverside Park (Dinosaur Playground)","West 97 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"38","10025","Bloomingdale Playground","Amsterdam Avenue, West 104 & West 105 streets","Yes","No","Manhattan",40.7987854,-73.9658493,94600
"39","10025","Happy Warrior Playground","West 98 Street & Amsterdam Avenue","Yes","No","Manhattan",40.7952778,-73.968611,94600
"40","10025","Riverside Park (Ten Mile River Playground)","West 148 Street & Hudson River","No","No","Manhattan",40.80663435,-73.9687489626192,94600
"41","10025","Riverside Park (Claremont)","West 124 Street & Riverside Drive","Yes","No","Manhattan",40.80663435,-73.9687489626192,94600
"42","10026","Central Park (The Great Hill)","West Side from 103rd to 107th streets","No","No","Manhattan",40.79686915,-73.9589231124157,34003
"43","10027","Morningside Park","West 123 Street & Morningside Avenue","Yes","Yes","Manhattan",40.80593305,-73.9587637898096,59707
"44","10027","Marcus Garvey Park (Pool)","Madison Avenue, East 120 to East 124 streets","No","No","Manhattan",40.80521955,-73.9433496,59707
"45","10027","Smokey Oval","125 Street & Atlantic Avenue","Yes","No","Queens",40.8107835,-73.9525929,59707
"46","10027","Morningside Playground","West 117 Street & Morningside Avenue","Yes","No","Manhattan",40.8105122,-73.9553236,59707
"47","10027","Sheltering Arms Park","West 129 Street, Amsterdam Avenue","Yes","No","Manhattan",40.815,-73.9555555,59707
"48","10027","Marcus Garvey Park (Pelham Fritz Recreation Center)","18 Mount Morris Park West","Yes","No","Manhattan",40.8050093,-73.9448633,59707
"49","10027","Sheltering Arms Park (Pool)","West 129 Street, Amsterdam Avenue","No","No","Manhattan",40.815,-73.9555555,59707
"50","10028","Central Park (The Metropolitan Museum of Art)","Fifth Avenue at 82nd Street","Yes","No","Manhattan",40.7789422,-73.9623032,45141
"51","10029","Poor Richard's Playground","East 109 Street between 2 & 3 avenues","Yes","No","Manhattan",40.7924667,-73.9428112334836,76003
"52","10029","Bendheim Playground","100th Street and Fifth Ave","No","Yes","Manhattan",40.7902744,-73.9544034800503,76003
"53","10029","Playground 70","West End Avenue & West 70 Street","Yes","Yes","Manhattan",40.78911455,-73.9439835,76003
