"","zipcode","population"
"2430",10001,21102
"2431",10002,81410
"2432",10003,56024
"2433",10004,3089
"2434",10005,7135
"2435",10006,3011
"2436",10007,6988
"2437",10009,61347
"2438",10010,31834
"2439",10011,50984
"2440",10012,24090
"2441",10013,27700
"2442",10014,31959
"2443",10016,54183
"2444",10017,16575
"2445",10018,5229
"2446",10019,42870
"2447",10020,0
"2448",10021,43631
"2449",10022,31924
"2450",10023,60998
"2451",10024,59283
"2452",10025,94600
"2453",10026,34003
"2454",10027,59707
"2455",10028,45141
"2456",10029,76003
"2457",10030,26999
"2458",10031,56438
"2459",10032,57331
"2460",10033,53926
"2461",10034,38908
"2462",10035,33969
"2463",10036,24711
"2464",10037,17416
"2465",10038,20300
"2466",10039,24527
"2467",10040,41905
"2468",10044,11661
"2469",10065,32270
"2470",10069,5199
"2471",10075,26121
"2472",10103,3
"2473",10110,0
"2474",10111,0
"2475",10112,0
"2476",10115,0
"2477",10119,92
"2478",10128,60453
"2479",10152,0
"2480",10153,0
"2481",10154,0
"2482",10162,1685
"2483",10165,2
"2484",10167,0
"2485",10168,0
"2486",10169,0
"2487",10170,2
"2488",10171,0
"2489",10172,0
"2490",10173,2
"2491",10174,0
"2492",10177,0
"2493",10199,9
"2494",10271,0
"2495",10278,0
"2496",10279,0
"2497",10280,7853
"2498",10282,4783
"2499",10301,39706
"2500",10302,19088
"2501",10303,26337
"2502",10304,42193
"2503",10305,41749
"2504",10306,55909
"2505",10307,14096
"2506",10308,27357
"2507",10309,32519
"2508",10310,24962
"2509",10311,0
"2510",10312,59304
"2511",10314,85510
"2512",10451,45713
"2513",10452,75371
"2514",10453,78309
"2515",10454,37337
"2516",10455,39665
"2517",10456,86547
"2518",10457,70496
"2519",10458,79492
"2520",10459,47308
"2521",10460,57311
"2522",10461,50502
"2523",10462,75784
"2524",10463,67970
"2525",10464,4534
"2526",10465,42230
"2527",10466,67813
"2528",10467,97060
"2529",10468,76103
"2530",10469,66631
"2531",10470,15293
"2532",10471,22922
"2533",10472,66358
"2534",10473,58519
"2535",10474,12281
"2536",10475,40931
"2537",10501,1219
"2538",10502,5487
"2539",10503,108
"2540",10504,7987
"2541",10505,851
"2542",10506,5790
"2543",10507,6408
"2544",10509,19507
"2545",10510,9988
"2546",10511,2246
"2547",10512,25590
"2548",10514,11946
"2549",10516,5289
"2550",10517,539
"2551",10518,1268
"2552",10519,316
"2553",10520,12810
"2554",10522,10875
"2555",10523,7444
"2556",10524,4421
"2557",10526,1809
"2558",10527,908
"2559",10528,12280
"2560",10530,12604
"2561",10532,4931
"2562",10533,7322
