"","Complaint","Lat","Lon"
"1","Animal in a Park",NA,NA
"2","Animal in a Park",NA,NA
"3","Animal in a Park",NA,NA
"4","Animal in a Park",NA,NA
"5","Animal in a Park",40.83024257,-73.94968908
"6","Animal in a Park",NA,NA
"7","Animal in a Park",NA,NA
"8","Animal in a Park",NA,NA
"9","Animal in a Park",NA,NA
"10","Animal in a Park",NA,NA
"11","Animal in a Park",40.74164326,-73.97816733
"12","Animal in a Park",NA,NA
"13","Animal in a Park",NA,NA
"14","Animal in a Park",40.72412013,-73.85561749
"15","Animal in a Park",NA,NA
"16","Animal in a Park",NA,NA
"17","Animal in a Park",NA,NA
"18","Animal in a Park",NA,NA
"19","Animal in a Park",40.67801351,-73.90597112
"20","Animal in a Park",NA,NA
"21","Animal in a Park",NA,NA
"22","Animal in a Park",NA,NA
"23","Animal in a Park",NA,NA
"24","Animal in a Park",NA,NA
"25","Animal in a Park",NA,NA
"26","Animal in a Park",NA,NA
"27","Animal in a Park",NA,NA
"28","Animal in a Park",40.57849936,-74.15614537
"29","Animal in a Park",NA,NA
"30","Animal in a Park",NA,NA
"31","Animal in a Park",NA,NA
"32","Animal in a Park",NA,NA
"33","Animal in a Park",40.68184603,-73.80258592
"34","Animal in a Park",40.72636173,-73.84853396
"35","Animal in a Park",NA,NA
"36","Animal in a Park",40.88352355,-73.91033839
"37","Animal in a Park",40.83015539,-73.93962552
"38","Animal in a Park",NA,NA
"39","Animal in a Park",NA,NA
"40","Animal in a Park",NA,NA
"41","Animal in a Park",40.84640079,-73.89337188
"42","Animal in a Park",40.69277808,-73.95767926
"43","Animal in a Park",40.78529363,-73.96933478
"44","Animal in a Park",NA,NA
"45","Animal in a Park",40.72195166,-73.9962697
"46","Animal in a Park",NA,NA
"47","Animal in a Park",NA,NA
"48","Animal in a Park",NA,NA
"49","Animal in a Park",40.83489177,-73.93775291
"50","Animal in a Park",NA,NA
"51","Animal in a Park",NA,NA
"52","Animal in a Park",NA,NA
"53","Animal in a Park",40.7993517,-73.95907791
"54","Animal in a Park",NA,NA
"55","Animal in a Park",NA,NA
"56","Animal in a Park",NA,NA
"57","Animal in a Park",NA,NA
"58","Animal in a Park",NA,NA
"59","Animal in a Park",NA,NA
"60","Animal in a Park",NA,NA
"61","Animal in a Park",NA,NA
"62","Animal in a Park",NA,NA
"63","Animal in a Park",40.73487407,-73.88210829
"64","Animal in a Park",NA,NA
"65","Animal in a Park",40.79275979,-73.84842985
"66","Animal in a Park",NA,NA
"67","Animal in a Park",NA,NA
"68","Animal in a Park",NA,NA
"69","Animal in a Park",40.77102828,-73.93424563
"70","Animal in a Park",NA,NA
"71","Animal in a Park",NA,NA
"72","Animal in a Park",40.51320075,-74.19685136
"73","Animal in a Park",40.54939057,-74.20039798
"74","Animal in a Park",NA,NA
"75","Animal in a Park",NA,NA
"76","Animal in a Park",NA,NA
"77","Animal in a Park",NA,NA
"78","Animal in a Park",40.720155,-73.87530885
"79","Animal in a Park",NA,NA
"80","Animal in a Park",NA,NA
"81","Animal in a Park",NA,NA
"82","Animal in a Park",NA,NA
"83","Animal in a Park",40.86699926,-73.90207392
"84","Animal in a Park",NA,NA
"85","Animal in a Park",40.74612091,-73.81624663
"86","Animal in a Park",40.82691633,-73.87203023
"87","Animal in a Park",NA,NA
"88","Animal in a Park",NA,NA
"89","Animal in a Park",NA,NA
"90","Animal in a Park",NA,NA
"91","Animal in a Park",NA,NA
"92","Animal in a Park",NA,NA
"93","Animal in a Park",NA,NA
"94","Animal in a Park",40.85932698,-73.93131325
"95","Animal in a Park",NA,NA
"96","Animal in a Park",NA,NA
"97","Animal in a Park",NA,NA
"98","Animal in a Park",NA,NA
"99","Animal in a Park",NA,NA
"100","Animal in a Park",NA,NA
"101","Animal in a Park",NA,NA
"102","Animal in a Park",NA,NA
"103","Animal in a Park",NA,NA
"104","Animal in a Park",NA,NA
"105","Animal in a Park",NA,NA
"106","Animal in a Park",40.58325359,-73.95250685
"107","Animal in a Park",NA,NA
"108","Animal in a Park",40.58061772,-74.15252871
"109","Animal in a Park",NA,NA
"110","Animal in a Park",NA,NA
"111","Animal in a Park",NA,NA
"112","Animal in a Park",NA,NA
"113","Animal in a Park",40.7011005,-73.84156225
"114","Animal in a Park",NA,NA
"115","Animal in a Park",40.72008966,-73.98402942
"116","Animal in a Park",NA,NA
"117","Animal in a Park",NA,NA
"118","Animal in a Park",40.74689077,-73.92079709
"119","Animal in a Park",NA,NA
"120","Animal in a Park",40.66115337,-73.98017246
"121","Animal in a Park",NA,NA
"122","Animal in a Park",NA,NA
"123","Animal in a Park",NA,NA
"124","Animal in a Park",NA,NA
"125","Animal in a Park",NA,NA
"126","Animal in a Park",NA,NA
"127","Animal in a Park",NA,NA
"128","Animal in a Park",NA,NA
"129","Animal in a Park",40.8473396,-73.88492342
"130","Animal in a Park",NA,NA
"131","Animal in a Park",NA,NA
"132","Animal in a Park",40.74193525,-73.95380475
"133","Animal in a Park",NA,NA
"134","Animal in a Park",NA,NA
"135","Animal in a Park",NA,NA
"136","Animal in a Park",40.78660157,-73.95671684
"137","Animal in a Park",NA,NA
"138","Animal in a Park",40.78400363,-73.82129861
"139","Animal in a Park",NA,NA
"140","Animal in a Park",40.81566151,-73.8567845
"141","Animal in a Park",40.65784507,-73.92081631
"142","Animal in a Park",NA,NA
"143","Animal in a Park",NA,NA
"144","Animal in a Park",NA,NA
"145","Animal in a Park",NA,NA
"146","Animal in a Park",NA,NA
"147","Animal in a Park",40.87701219,-73.88184904
"148","Animal in a Park",NA,NA
"149","Animal in a Park",NA,NA
"150","Animal in a Park",NA,NA
"151","Animal in a Park",NA,NA
"152","Animal in a Park",NA,NA
"153","Animal in a Park",NA,NA
"154","Animal in a Park",NA,NA
"155","Animal in a Park",NA,NA
"156","Animal in a Park",NA,NA
"157","Animal in a Park",40.54013103,-74.2176794
"158","Animal in a Park",40.66964415,-73.83870626
"159","Animal in a Park",NA,NA
"160","Animal in a Park",NA,NA
"161","Animal in a Park",NA,NA
"162","Animal in a Park",40.63752494,-74.12078234
"163","Animal in a Park",NA,NA
"164","Animal in a Park",40.75517021,-73.88908913
"165","Animal in a Park",40.86691933,-73.9233983
"166","Animal in a Park",NA,NA
"167","Animal in a Park",40.85575359,-73.93165674
"168","Animal in a Park",NA,NA
"169","Animal in a Park",NA,NA
"170","Animal in a Park",40.67329825,-73.7898855
"171","Animal in a Park",40.70435215,-74.00610973
"172","Animal in a Park",40.81379904,-73.94986046
"173","Animal in a Park",NA,NA
"174","Animal in a Park",NA,NA
"175","Animal in a Park",NA,NA
"176","Animal in a Park",NA,NA
"177","Animal in a Park",NA,NA
"178","Animal in a Park",NA,NA
"179","Animal in a Park",NA,NA
"180","Animal in a Park",NA,NA
"181","Animal in a Park",NA,NA
"182","Animal in a Park",40.64074084,-74.08130733
"183","Animal in a Park",40.88760428,-73.91684644
"184","Animal in a Park",40.56564488,-74.10002175
"185","Animal in a Park",NA,NA
"186","Animal in a Park",40.80293682,-73.96956143
"187","Animal in a Park",NA,NA
"188","Animal in a Park",40.8454299,-73.91397516
"189","Animal in a Park",NA,NA
"190","Animal in a Park",NA,NA
"191","Animal in a Park",40.76946892,-73.94993716
"192","Animal in a Park",NA,NA
"193","Animal in a Park",NA,NA
"194","Animal in a Park",NA,NA
"195","Animal in a Park",NA,NA
"196","Animal in a Park",NA,NA
"197","Animal in a Park",NA,NA
"198","Animal in a Park",NA,NA
"199","Animal in a Park",NA,NA
"200","Animal in a Park",NA,NA
"201","Animal in a Park",NA,NA
"202","Animal in a Park",40.84376651,-73.88545367
"203","Animal in a Park",NA,NA
"204","Animal in a Park",NA,NA
"205","Animal in a Park",NA,NA
"206","Animal in a Park",NA,NA
"207","Animal in a Park",NA,NA
"208","Animal in a Park",NA,NA
"209","Animal in a Park",NA,NA
"210","Animal in a Park",40.80301278,-73.91737834
"211","Animal in a Park",NA,NA
"212","Animal in a Park",40.65850288,-73.8445468
"213","Animal in a Park",40.85679723,-73.88991739
"214","Animal in a Park",NA,NA
"215","Animal in a Park",NA,NA
"216","Animal in a Park",NA,NA
"217","Animal in a Park",40.83268605,-73.93967743
"218","Animal in a Park",NA,NA
"219","Animal in a Park",40.85212858,-73.93781992
"220","Animal in a Park",NA,NA
"221","Animal in a Park",NA,NA
"222","Animal in a Park",NA,NA
"223","Animal in a Park",NA,NA
"224","Animal in a Park",40.68180335,-73.90851484
"225","Animal in a Park",NA,NA
"226","Animal in a Park",NA,NA
"227","Animal in a Park",NA,NA
"228","Animal in a Park",NA,NA
"229","Animal in a Park",NA,NA
"230","Animal in a Park",NA,NA
"231","Animal in a Park",NA,NA
"232","Animal in a Park",40.58895468,-74.16759048
"233","Animal in a Park",NA,NA
"234","Animal in a Park",40.7261099,-73.97426871
"235","Animal in a Park",40.78994013,-73.98035801
"236","Animal in a Park",NA,NA
"237","Animal in a Park",NA,NA
"238","Animal in a Park",NA,NA
"239","Animal in a Park",NA,NA
"240","Animal in a Park",NA,NA
"241","Animal in a Park",NA,NA
"242","Animal in a Park",40.79423679,-73.96280457
"243","Animal in a Park",NA,NA
"244","Animal in a Park",NA,NA
"245","Animal in a Park",40.72228213,-73.9801687
"246","Animal in a Park",NA,NA
"247","Animal in a Park",NA,NA
"248","Animal in a Park",NA,NA
"249","Animal in a Park",NA,NA
"250","Animal in a Park",NA,NA
"251","Animal in a Park",NA,NA
"252","Animal in a Park",NA,NA
"253","Animal in a Park",NA,NA
"254","Animal in a Park",NA,NA
"255","Animal in a Park",NA,NA
"256","Animal in a Park",40.70435215,-74.00610973
"257","Animal in a Park",NA,NA
"258","Animal in a Park",NA,NA
"259","Animal in a Park",NA,NA
"260","Animal in a Park",NA,NA
"261","Animal in a Park",NA,NA
"262","Animal in a Park",40.68285206,-73.9727855
"263","Animal in a Park",NA,NA
"264","Animal in a Park",40.76281824,-73.87419656
"265","Animal in a Park",NA,NA
"266","Animal in a Park",NA,NA
"267","Animal in a Park",NA,NA
"268","Animal in a Park",NA,NA
"269","Animal in a Park",NA,NA
"270","Animal in a Park",NA,NA
"271","Animal in a Park",NA,NA
"272","Animal in a Park",NA,NA
"273","Animal in a Park",40.81006558,-73.95496762
"274","Animal in a Park",NA,NA
"275","Animal in a Park",NA,NA
"276","Animal in a Park",NA,NA
"277","Animal in a Park",NA,NA
"278","Animal in a Park",40.70905833,-74.01696345
"279","Animal in a Park",NA,NA
"280","Animal in a Park",40.66822265,-73.97382603
"281","Animal in a Park",NA,NA
"282","Animal in a Park",NA,NA
"283","Animal in a Park",NA,NA
"284","Animal in a Park",NA,NA
"285","Animal in a Park",40.74710612,-73.92265186
"286","Animal in a Park",NA,NA
"287","Animal in a Park",NA,NA
"288","Animal in a Park",NA,NA
"289","Animal in a Park",NA,NA
"290","Animal in a Park",40.73303399,-73.98444127
"291","Animal in a Park",NA,NA
"292","Animal in a Park",NA,NA
"293","Animal in a Park",NA,NA
"294","Animal in a Park",NA,NA
"295","Animal in a Park",NA,NA
"296","Animal in a Park",NA,NA
"297","Animal in a Park",NA,NA
"298","Animal in a Park",NA,NA
"299","Animal in a Park",NA,NA
"300","Animal in a Park",NA,NA
"301","Animal in a Park",NA,NA
"302","Animal in a Park",NA,NA
"303","Animal in a Park",40.71153372,-73.98061918
"304","Animal in a Park",NA,NA
"305","Animal in a Park",NA,NA
"306","Animal in a Park",NA,NA
"307","Animal in a Park",NA,NA
"308","Animal in a Park",NA,NA
"309","Animal in a Park",NA,NA
"310","Animal in a Park",40.79658941,-73.97425591
"311","Animal in a Park",NA,NA
"312","Animal in a Park",NA,NA
"313","Animal in a Park",NA,NA
"314","Animal in a Park",NA,NA
"315","Animal in a Park",40.67237138,-73.84799326
"316","Animal in a Park",NA,NA
"317","Animal in a Park",NA,NA
"318","Animal in a Park",NA,NA
"319","Animal in a Park",NA,NA
"320","Animal in a Park",NA,NA
"321","Animal in a Park",NA,NA
"322","Animal in a Park",NA,NA
"323","Animal in a Park",NA,NA
"324","Animal in a Park",40.54883435,-74.17991118
"325","Animal in a Park",40.68106015,-73.99652797
"326","Animal in a Park",NA,NA
"327","Animal in a Park",NA,NA
"328","Animal in a Park",NA,NA
"329","Animal in a Park",NA,NA
"330","Animal in a Park",NA,NA
"331","Animal in a Park",NA,NA
"332","Animal in a Park",NA,NA
"333","Animal in a Park",NA,NA
"334","Animal in a Park",NA,NA
"335","Animal in a Park",NA,NA
"336","Animal in a Park",NA,NA
"337","Animal in a Park",NA,NA
"338","Animal in a Park",40.74375162,-73.95936829
"339","Animal in a Park",NA,NA
"340","Animal in a Park",NA,NA
"341","Animal in a Park",NA,NA
"342","Animal in a Park",40.70986795,-73.91117796
"343","Animal in a Park",NA,NA
"344","Animal in a Park",NA,NA
"345","Animal in a Park",NA,NA
"346","Animal in a Park",NA,NA
"347","Animal in a Park",NA,NA
"348","Animal in a Park",40.66644433,-73.89344688
"349","Animal in a Park",NA,NA
"350","Animal in a Park",40.7756063,-73.94427843
"351","Animal in a Park",NA,NA
"352","Animal in a Park",40.63656972,-74.03660312
"353","Animal in a Park",NA,NA
"354","Animal in a Park",NA,NA
"355","Animal in a Park",NA,NA
"356","Animal in a Park",NA,NA
"357","Animal in a Park",NA,NA
"358","Animal in a Park",NA,NA
"359","Animal in a Park",NA,NA
"360","Animal in a Park",NA,NA
"361","Animal in a Park",NA,NA
"362","Animal in a Park",40.57526084,-73.96889125
"363","Animal in a Park",40.7596199,-73.9619648
"364","Animal in a Park",NA,NA
"365","Animal in a Park",NA,NA
"366","Animal in a Park",NA,NA
"367","Animal in a Park",40.7012432,-73.77135363
"368","Animal in a Park",NA,NA
"369","Animal in a Park",NA,NA
"370","Animal in a Park",NA,NA
"371","Animal in a Park",NA,NA
"372","Animal in a Park",NA,NA
"373","Animal in a Park",40.8139264,-73.84995675
"374","Animal in a Park",NA,NA
"375","Animal in a Park",NA,NA
"376","Animal in a Park",NA,NA
"377","Animal in a Park",NA,NA
"378","Animal in a Park",NA,NA
"379","Animal in a Park",NA,NA
"380","Animal in a Park",NA,NA
"381","Animal in a Park",NA,NA
"382","Animal in a Park",40.72301931,-74.00527085
"383","Animal in a Park",40.72972315,-73.95924335
"384","Animal in a Park",NA,NA
"385","Animal in a Park",NA,NA
"386","Animal in a Park",NA,NA
"387","Animal in a Park",NA,NA
"388","Animal in a Park",NA,NA
"389","Animal in a Park",NA,NA
"390","Animal in a Park",NA,NA
"391","Animal in a Park",NA,NA
"392","Animal in a Park",40.64911954,-73.83738647
"393","Animal in a Park",NA,NA
"394","Animal in a Park",NA,NA
"395","Animal in a Park",NA,NA
"396","Animal in a Park",40.83646959,-73.93702505
"397","Animal in a Park",NA,NA
"398","Animal in a Park",40.58174449,-73.95383635
"399","Animal in a Park",NA,NA
"400","Animal in a Park",40.68962075,-73.9731253
"401","Animal in a Park",40.74367601,-73.88709815
"402","Animal in a Park",NA,NA
"403","Animal in a Park",NA,NA
"404","Animal in a Park",NA,NA
"405","Animal in a Park",NA,NA
"406","Animal in a Park",40.63695463,-74.11754937
"407","Animal in a Park",40.65524218,-73.97208677
"408","Animal in a Park",NA,NA
"409","Animal in a Park",NA,NA
"410","Animal in a Park",NA,NA
"411","Animal in a Park",NA,NA
"412","Animal in a Park",NA,NA
"413","Animal in a Park",NA,NA
"414","Animal in a Park",NA,NA
"415","Animal in a Park",NA,NA
"416","Animal in a Park",NA,NA
"417","Animal in a Park",NA,NA
"418","Animal in a Park",NA,NA
"419","Animal in a Park",NA,NA
"420","Animal in a Park",NA,NA
"421","Animal in a Park",NA,NA
"422","Animal in a Park",NA,NA
"423","Animal in a Park",NA,NA
"424","Animal in a Park",NA,NA
"425","Animal in a Park",NA,NA
"426","Animal in a Park",NA,NA
"427","Animal in a Park",NA,NA
"428","Animal in a Park",NA,NA
"429","Animal in a Park",NA,NA
"430","Animal in a Park",NA,NA
"431","Animal in a Park",NA,NA
"432","Animal in a Park",NA,NA
"433","Animal in a Park",NA,NA
"434","Animal in a Park",NA,NA
"435","Animal in a Park",NA,NA
"436","Animal in a Park",NA,NA
"437","Animal in a Park",NA,NA
"438","Animal in a Park",NA,NA
"439","Animal in a Park",NA,NA
"440","Animal in a Park",NA,NA
"441","Animal in a Park",NA,NA
"442","Animal in a Park",NA,NA
"443","Animal in a Park",NA,NA
"444","Animal in a Park",NA,NA
"445","Animal in a Park",NA,NA
"446","Animal in a Park",NA,NA
"447","Animal in a Park",NA,NA
"448","Animal in a Park",NA,NA
"449","Animal in a Park",NA,NA
"450","Animal in a Park",NA,NA
"451","Animal in a Park",NA,NA
"452","Animal in a Park",40.76280713,-73.99315572
"453","Animal in a Park",NA,NA
"454","Animal in a Park",NA,NA
"455","Animal in a Park",NA,NA
"456","Animal in a Park",NA,NA
"457","Animal in a Park",NA,NA
"458","Animal in a Park",NA,NA
"459","Animal in a Park",NA,NA
"460","Animal in a Park",NA,NA
"461","Animal in a Park",40.63598488,-74.03724413
"462","Animal in a Park",NA,NA
"463","Animal in a Park",NA,NA
"464","Animal in a Park",NA,NA
"465","Animal in a Park",NA,NA
"466","Animal in a Park",NA,NA
"467","Animal in a Park",NA,NA
"468","Animal in a Park",40.75070732,-73.82321418
"469","Animal in a Park",40.5624051,-74.13094694
"470","Animal in a Park",NA,NA
"471","Animal in a Park",NA,NA
"472","Animal in a Park",40.68016972,-73.93150139
"473","Animal in a Park",NA,NA
"474","Animal in a Park",NA,NA
"475","Animal in a Park",NA,NA
"476","Animal in a Park",NA,NA
"477","Animal in a Park",NA,NA
"478","Animal in a Park",NA,NA
"479","Animal in a Park",NA,NA
"480","Animal in a Park",NA,NA
"481","Animal in a Park",NA,NA
"482","Animal in a Park",40.77425088,-73.94526522
"483","Animal in a Park",NA,NA
"484","Animal in a Park",NA,NA
"485","Animal in a Park",NA,NA
"486","Animal in a Park",40.72737577,-73.90311975
"487","Animal in a Park",NA,NA
"488","Animal in a Park",NA,NA
"489","Animal in a Park",NA,NA
"490","Animal in a Park",40.78106247,-73.94941932
"491","Animal in a Park",NA,NA
"492","Animal in a Park",NA,NA
"493","Animal in a Park",NA,NA
"494","Animal in a Park",40.81038628,-73.91519811
"495","Animal in a Park",NA,NA
"496","Animal in a Park",NA,NA
"497","Animal in a Park",NA,NA
"498","Animal in a Park",NA,NA
"499","Animal in a Park",NA,NA
"500","Animal in a Park",NA,NA
"501","Animal in a Park",NA,NA
"502","Animal in a Park",NA,NA
"503","Animal in a Park",NA,NA
"504","Animal in a Park",NA,NA
"505","Animal in a Park",NA,NA
"506","Animal in a Park",40.67091026,-73.89363081
"507","Animal in a Park",NA,NA
"508","Animal in a Park",NA,NA
"509","Animal in a Park",NA,NA
"510","Animal in a Park",NA,NA
"511","Animal in a Park",NA,NA
"512","Animal in a Park",NA,NA
"513","Animal in a Park",NA,NA
"514","Animal in a Park",NA,NA
"515","Animal in a Park",NA,NA
"516","Animal in a Park",NA,NA
"517","Animal in a Park",NA,NA
"518","Animal in a Park",NA,NA
"519","Animal in a Park",NA,NA
"520","Animal in a Park",NA,NA
"521","Animal in a Park",NA,NA
"522","Animal in a Park",NA,NA
"523","Animal in a Park",40.51239477,-74.23160764
"524","Animal in a Park",NA,NA
"525","Animal in a Park",40.79914709,-73.97252847
"526","Animal in a Park",40.74237392,-73.95982744
"527","Animal in a Park",NA,NA
"528","Animal in a Park",NA,NA
"529","Animal in a Park",40.79943538,-73.95528904
"530","Animal in a Park",NA,NA
"531","Animal in a Park",40.87305273,-73.88295891
"532","Animal in a Park",40.87038663,-73.88197651
"533","Animal in a Park",40.71922843,-73.96289694
"534","Animal in a Park",NA,NA
"535","Animal in a Park",NA,NA
"536","Animal in a Park",NA,NA
"537","Animal in a Park",40.82698121,-73.83079106
"538","Animal in a Park",NA,NA
"539","Animal in a Park",NA,NA
"540","Animal in a Park",40.70933283,-74.01676514
"541","Animal in a Park",NA,NA
"542","Animal in a Park",NA,NA
"543","Animal in a Park",NA,NA
"544","Animal in a Park",NA,NA
"545","Animal in a Park",NA,NA
"546","Animal in a Park",NA,NA
"547","Animal in a Park",40.79124371,-73.97939699
"548","Animal in a Park",NA,NA
"549","Animal in a Park",40.85497357,-73.90395328
"550","Animal in a Park",40.71735612,-74.01416262
"551","Animal in a Park",NA,NA
"552","Animal in a Park",NA,NA
"553","Animal in a Park",40.71220664,-73.88637593
"554","Animal in a Park",40.72488821,-73.898978
"555","Animal in a Park",NA,NA
"556","Animal in a Park",40.69059823,-73.83515059
"557","Animal in a Park",NA,NA
"558","Animal in a Park",NA,NA
"559","Animal in a Park",NA,NA
"560","Animal in a Park",NA,NA
"561","Animal in a Park",NA,NA
"562","Animal in a Park",NA,NA
"563","Animal in a Park",NA,NA
"564","Animal in a Park",NA,NA
"565","Animal in a Park",NA,NA
"566","Animal in a Park",NA,NA
"567","Animal in a Park",NA,NA
"568","Animal in a Park",40.84893142,-73.89045812
"569","Animal in a Park",NA,NA
"570","Animal in a Park",NA,NA
"571","Animal in a Park",40.79087177,-73.97269079
"572","Animal in a Park",40.74411177,-73.95363723
"573","Animal in a Park",NA,NA
"574","Animal in a Park",NA,NA
"575","Animal in a Park",NA,NA
"576","Animal in a Park",NA,NA
"577","Animal in a Park",NA,NA
"578","Animal in a Park",NA,NA
"579","Animal in a Park",40.72195166,-73.9962697
"580","Animal in a Park",NA,NA
"581","Animal in a Park",NA,NA
"582","Animal in a Park",40.53225025,-74.15337884
"583","Animal in a Park",NA,NA
"584","Animal in a Park",NA,NA
"585","Animal in a Park",40.73071564,-73.99556202
"586","Animal in a Park",NA,NA
"587","Animal in a Park",40.73071564,-73.99556202
"588","Animal in a Park",NA,NA
"589","Animal in a Park",NA,NA
"590","Animal in a Park",NA,NA
"591","Animal in a Park",NA,NA
"592","Animal in a Park",40.7741151,-73.98862703
"593","Animal in a Park",NA,NA
"594","Animal in a Park",NA,NA
"595","Animal in a Park",40.75866396,-73.95972016
"596","Animal in a Park",NA,NA
"597","Animal in a Park",NA,NA
"598","Animal in a Park",NA,NA
"599","Animal in a Park",40.63727851,-74.1278475
"600","Animal in a Park",NA,NA
"601","Animal in a Park",40.74613137,-73.79023323
"602","Animal in a Park",NA,NA
"603","Animal in a Park",NA,NA
"604","Animal in a Park",NA,NA
"605","Animal in a Park",40.8783825,-73.82421268
"606","Animal in a Park",NA,NA
"607","Animal in a Park",NA,NA
"608","Animal in a Park",NA,NA
"609","Animal in a Park",NA,NA
"610","Animal in a Park",NA,NA
"611","Animal in a Park",NA,NA
"612","Animal in a Park",NA,NA
"613","Animal in a Park",NA,NA
"614","Animal in a Park",NA,NA
"615","Animal in a Park",NA,NA
"616","Animal in a Park",NA,NA
"617","Animal in a Park",40.70082782,-73.93313915
"618","Animal in a Park",NA,NA
"619","Animal in a Park",NA,NA
"620","Animal in a Park",NA,NA
"621","Animal in a Park",NA,NA
"622","Animal in a Park",NA,NA
"623","Animal in a Park",40.84163661,-73.87488238
"624","Animal in a Park",NA,NA
"625","Animal in a Park",NA,NA
"626","Animal in a Park",40.86947984,-73.8546149
"627","Animal in a Park",NA,NA
"628","Animal in a Park",NA,NA
"629","Animal in a Park",NA,NA
"630","Animal in a Park",NA,NA
"631","Animal in a Park",NA,NA
"632","Animal in a Park",NA,NA
"633","Animal in a Park",NA,NA
"634","Animal in a Park",NA,NA
