region,value
10019,1
10035,1
10280,1
10035,1
10128,1
10003,1
10014,1
10003,1
10024,1
10465,1
10461,1
10456,1
10451,1
10475,1
10459,1
10460,1
10459,1
10461,1
10475,1
10455,1
10459,1
11207,1
11207,1
11215,1
11217,1
11216,1
11226,1
11204,1
11206,1
11217,1
11224,1
11232,1
11215,1
11206,1
11212,1
11223,1
11238,1
11235,1
11235,1
11365,1
11378,1
11426,1
11385,1
11365,1
11426,1
11375,1
11366,1
11101,1
11373,1
11436,1
11362,1
10309,1
10308,1
10301,1
10304,1
10009,1
10003,1
10002,1
10009,1
10009,1
10009,1
10002,1
10002,1
10002,1
10002,1
10002,1
10002,1
10002,1
10003,1
10009,1
10002,1
10002,1
10009,1
10009,1
10009,1
10002,1
10009,1
10002,1
10002,1
10009,1
10002,1
10002,1
10002,1
10002,1
10002,1
10002,1
10002,1
10002,1
10002,1
10002,1
10038,1
10002,1
10014,1
10028,1
10011,1
10001,1
10003,1
10011,1
10002,1
10010,1
10128,1
10022,1
10128,1
10282,1
10010,1
10019,1
10128,1
10016,1
10002,1
10038,1
10013,1
10002,1
10013,1
10128,1
10075,1
10021,1
10065,1
10128,1
10036,1
10044,1
10007,1
10003,1
10003,1
10001,1
10065,1
10280,1
10016,1
10282,1
10028,1
10011,1
10007,1
10010,1
10038,1
10011,1
10010,1
10011,1
10021,1
10004,1
10128,1
10004,1
10019,1
10038,1
10065,1
10019,1
10002,1
10019,1
10002,1
10019,1
10019,1
10002,1
10002,1
10011,1
10004,1
10003,1
10013,1
10011,1
10019,1
10002,1
10003,1
10019,1
10003,1
10036,1
10010,1
10011,1
10003,1
10011,1
10006,1
10016,1
10011,1
10016,1
10011,1
10003,1
10010,1
10003,1
10065,1
10065,1
10003,1
10282,1
10006,1
10016,1
10019,1
10065,1
10038,1
10036,1
10036,1
10003,1
10011,1
10019,1
10002,1
10019,1
10002,1
10003,1
10011,1
10004,1
10014,1
10065,1
10001,1
10003,1
10004,1
10003,1
10011,1
10011,1
10013,1
10016,1
10019,1
10022,1
10128,1
10004,1
10013,1
10003,1
10019,1
10002,1
10024,1
10025,1
10025,1
10027,1
10025,1
10024,1
10025,1
10026,1
10025,1
10025,1
10024,1
10027,1
10026,1
10023,1
10023,1
10026,1
10026,1
10027,1
10024,1
10024,1
10025,1
10025,1
10025,1
10025,1
10025,1
10024,1
10025,1
10024,1
10025,1
10023,1
10023,1
10023,1
10024,1
10024,1
10024,1
10026,1
10024,1
10023,1
10023,1
10023,1
10023,1
10025,1
10023,1
10023,1
10026,1
10026,1
10026,1
10026,1
10027,1
10026,1
10026,1
10027,1
10024,1
10026,1
10035,1
10029,1
10029,1
10035,1
10029,1
10029,1
10029,1
10029,1
10029,1
10035,1
10029,1
10029,1
10035,1
10029,1
10035,1
10029,1
10029,1
10035,1
10029,1
