"","FacName","CDName","FacAddress","Borough","ZipCode","Lon","Lat","FT_Decode"
"1","PS 35","MANHATTAN COMMUNITY DISTRICT 4","317 W 52 St","MN",10019,-73.98590325,"40.76412665","Special School - Public"
"2","PS 79 HORAN SCHOOL","MANHATTAN COMMUNITY DISTRICT 11","55 E 120 St","MN",10035,-73.94200921,"40.80254744","Special School - Public"
"3","PS 94","MANHATTAN COMMUNITY DISTRICT 1","55 Battery Pl","MN",10280,-74.01745329,"40.70637109","Special School - Public"
"4","PS 138","MANHATTAN COMMUNITY DISTRICT 11","144-176 E 128 St","MN",10035,-73.93546124,"40.80565373","Special School - Public"
"5","PS 169 ROBERT F KENNEDY","MANHATTAN COMMUNITY DISTRICT 8","110 E 88 St","MN",10128,-73.95559765,"40.78079599","Special School - Public"
"6","PS 226","MANHATTAN COMMUNITY DISTRICT 6","345 E 15 St","MN",10003,-73.98259034,"40.73266589","Special School - Public"
"7","PS 721 MANHATTAN OCCUPATIONAL TRAINING CENTER","MANHATTAN COMMUNITY DISTRICT 2","250 W Houston St","MN",10014,-74.00615529,"40.72904946","Special School - Public"
"8","MANHATTAN SCHOOL FOR CAREER DEVELOPMENT","MANHATTAN COMMUNITY DISTRICT 3","113 E 4 St","MN",10003,-73.98778742,"40.72588701","Special School - Public"
"9","PS 811 MICKEY MANTLE SCHOOL","MANHATTAN COMMUNITY DISTRICT 7","466 W End Ave","MN",10024,-73.97922157,"40.78633057","Special School - Public"
"10","PS 10","BRONX COMMUNITY DISTRICT 10","2750 Lafayette Ave","BX",10465,-73.82909268,"40.82702533","Special School - Public"
"11","PS 12 LEWIS AND CLARK SCHOOL","BRONX COMMUNITY DISTRICT 10","2555 Tratman Ave","BX",10461,-73.84468503,"40.84062275","Special School - Public"
"12","PS 17","BRONX COMMUNITY DISTRICT 1","778 Forest Ave","BX",10456,-73.90539297,"40.81871158","Special School - Public"
"13","PS 168","BRONX COMMUNITY DISTRICT 1","339 Morris Ave","BX",10451,-73.92596673,"40.81367634","Special School - Public"
"14","PS 176","BRONX COMMUNITY DISTRICT 10","850 Baychester Ave","BX",10475,-73.83194767,"40.87405736","Special School - Public"
