"","BOROUGH","ADDRESS","ZIP.CODE","SALE.PRICE"
"1",1," 292 EAST 3 STREET                         ",10009,670509
"4",1," 215 EAST 3 STREET                         ",10009,3500000
"6",1," 182 AVENUE A                              ",10009,1252452
"9",1," 327 EAST 3RD STREET, 4C                   ",10009,370000
"10",1," 317 EAST 3RD STREET, 2                    ",10009,350000
"11",1," 317 EAST 3RD STREET, 17                   ",10009,295000
"12",1," 311 EAST 3RD STREET, 17                   ",10009,340000
"14",1," 248 EAST 7TH STREET, 7-8                  ",10009,575000
"15",1," 248 EAST 7TH   STREET, 17-18              ",10009,565000
"16",1," 252 EAST 7TH STREET, 13                   ",10009,627000
"17",1," 252 EAST 7TH STREET, 5                    ",10009,1150000
"18",1," 268 EAST 4TH STREET, 4AB                  ",10009,385000
"19",1," 610 EAST 5TH STREET, 4                    ",10009,340000
"20",1," 610 EAST 5TH STREET, 9                    ",10009,360000
"21",1," 610 EAST 5TH STREET, 13                   ",10009,382500
"22",1," 55 AVENUE C, 8                            ",10009,499000
"23",1," 55 AVENUE C, 17                           ",10009,510000
"25",1," 216 EAST 7TH STREET, 1                    ",10009,590000
"26",1," 216 EAST 7TH, 5                           ",10009,460000
"27",1," 219 EAST 7TH STREET, 21                   ",10009,495000
"28",1," 219 EAST 7TH STREET, 18                   ",10009,495000
"29",1," 199 EAST 7TH STREET, 3D                   ",10009,465000
"30",1," 628 E.9TH STREET, 1A                      ",10009,90000
"31",1," 323 EAST 8TH STREET, 4B                   ",10009,475000
"32",1," 323 EAST 8TH STREET, 6C                   ",10009,265000
"33",1," 323 EAST 8TH STREET, G                    ",10009,390000
"35",1," 633 EAST 11TH STREET, 16                  ",10009,285000
"36",1," 630 EAST 14TH STREET, 1                   ",10009,412543
"37",1," 626 EAST 14TH STREET, 6                   ",10009,375000
"38",1," 636 EAST 14TH STREET, 18                  ",10009,401267
"39",1," 628 EAST 14TH STREET, 14                  ",10009,397552
"40",1," 185 EAST 2ND STREET, 3B                   ",10009,348000
"41",1," 185 EAST 2 STREET, 1D                     ",10009,330000
"42",1," 185 EAST 2 STREET, 2A                     ",10009,345000
"43",1," 504 EAST 6TH STREET, 3                    ",10009,492000
"44",1," 513 EAST 5TH STREET, 2A                   ",10009,290000
"45",1," 533 EAST 6TH STREET, 6                    ",10009,700000
"46",1," 512 EAST 11TH STREET, 4D                  ",10009,280000
"47",1," 514 EAST 11TH STREET, 2A                  ",10009,200000
"48",1," 518 EAST 11TH STREET, 2B                  ",10009,572500
"49",1," 534 EAST11TH, 19                          ",10009,80000
"50",1," 544 EAST 11TH STREET, 2A                  ",10009,535000
"52",1," 313 EAST 10TH STREET, 4                   ",10009,990000
"54",1," 527 EAST 12TH STREET, C8                  ",10009,380000
"55",1," 527 EAST 12TH STREET, A4                  ",10009,302000
"56",1," 507 EAST 12TH STREET, 4B                  ",10009,425000
"57",1," 300 EAST 4TH STREET, 1-C                  ",10009,750000
"58",1," 211 EAST 3 STREET, 5R                     ",10009,1299000
"59",1," 642 EAST 11 STREET, A1                    ",10009,1050000
"65",1," 217 EAST 7 STREET, 4A-B                   ",10009,775000
"66",1," 217 EAST 7 STREET, 6C-D                   ",10009,976000
"68",1," 143 AVENUE B, 9D                          ",10009,585000
"69",1," 143 AVENUE B, 12A                         ",10009,585000
"71",1," 175 EAST 2 STREET, 3B                     ",10009,750000
"72",1," 175 EAST 2 STREET, 4C                     ",10009,712500
"73",1," 240 EAST HOUSTON STREET, 4E               ",10002,790000
"74",1," 525 EAST 11 STREET, 3F                    ",10009,700000
"75",1," 259 EAST 7 STREET, G                      ",10009,2125000
"76",1," 259 EAST 7 STREET, 1A                     ",10009,1577300
"77",1," 259 EAST 7 STREET, 2A                     ",10009,1500000
"78",1," 259 EAST 7 STREET, PH                     ",10009,5854937
"79",1," 211 EAST 2 STREET, 3                      ",10009,675250
"81",1," 645 EAST 11 STREET, 3A                    ",10009,1078500
"84",1," 525 EAST 12 STREET, 3A                    ",10009,1221900
"85",1," 525 EAST 12 STREET, 5A                    ",10009,1200000
"86",1," 186 EAST 2ND   STREET, 7                  ",10009,285000
"87",1," 50 AVENUE A, 4B                           ",10009,860000
"89",1," 214 AVENUE A, TERR                        ",10009,726300
