City,Agency,Complaint,Location,Facility,Lat,Lon
BROOKLYN,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,40.83024257,-73.94968908
BROOKLYN,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
BAYSIDE,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,40.74164326,-73.97816733
BROOKLYN,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
FOREST HILLS,Department of Parks and Recreation,Animal in a Park,Park,N/A,40.72412013,-73.85561749
BROOKLYN,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
BAYSIDE,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
FOREST HILLS,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Animal in a Park,Park,N/A,40.67801351,-73.90597112
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
RIDGEWOOD,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Animal in a Park,Park,N/A,NA,NA
