"","Complaint","Lat","Lon"
"5","Animal in a Park",40.83024257,-73.94968908
"11","Animal in a Park",40.74164326,-73.97816733
"14","Animal in a Park",40.72412013,-73.85561749
"19","Animal in a Park",40.67801351,-73.90597112
"28","Animal in a Park",40.57849936,-74.15614537
"33","Animal in a Park",40.68184603,-73.80258592
"34","Animal in a Park",40.72636173,-73.84853396
"36","Animal in a Park",40.88352355,-73.91033839
"37","Animal in a Park",40.83015539,-73.93962552
"41","Animal in a Park",40.84640079,-73.89337188
"42","Animal in a Park",40.69277808,-73.95767926
"43","Animal in a Park",40.78529363,-73.96933478
"45","Animal in a Park",40.72195166,-73.9962697
"49","Animal in a Park",40.83489177,-73.93775291
"53","Animal in a Park",40.7993517,-73.95907791
"63","Animal in a Park",40.73487407,-73.88210829
"65","Animal in a Park",40.79275979,-73.84842985
"69","Animal in a Park",40.77102828,-73.93424563
"72","Animal in a Park",40.51320075,-74.19685136
"73","Animal in a Park",40.54939057,-74.20039798
"78","Animal in a Park",40.720155,-73.87530885
"83","Animal in a Park",40.86699926,-73.90207392
"85","Animal in a Park",40.74612091,-73.81624663
"86","Animal in a Park",40.82691633,-73.87203023
"94","Animal in a Park",40.85932698,-73.93131325
"106","Animal in a Park",40.58325359,-73.95250685
"108","Animal in a Park",40.58061772,-74.15252871
"113","Animal in a Park",40.7011005,-73.84156225
"115","Animal in a Park",40.72008966,-73.98402942
"118","Animal in a Park",40.74689077,-73.92079709
"120","Animal in a Park",40.66115337,-73.98017246
"129","Animal in a Park",40.8473396,-73.88492342
"132","Animal in a Park",40.74193525,-73.95380475
"136","Animal in a Park",40.78660157,-73.95671684
"138","Animal in a Park",40.78400363,-73.82129861
"140","Animal in a Park",40.81566151,-73.8567845
"141","Animal in a Park",40.65784507,-73.92081631
"147","Animal in a Park",40.87701219,-73.88184904
"157","Animal in a Park",40.54013103,-74.2176794
"158","Animal in a Park",40.66964415,-73.83870626
"162","Animal in a Park",40.63752494,-74.12078234
"164","Animal in a Park",40.75517021,-73.88908913
"165","Animal in a Park",40.86691933,-73.9233983
"167","Animal in a Park",40.85575359,-73.93165674
"170","Animal in a Park",40.67329825,-73.7898855
"171","Animal in a Park",40.70435215,-74.00610973
"172","Animal in a Park",40.81379904,-73.94986046
"182","Animal in a Park",40.64074084,-74.08130733
"183","Animal in a Park",40.88760428,-73.91684644
"184","Animal in a Park",40.56564488,-74.10002175
"186","Animal in a Park",40.80293682,-73.96956143
"188","Animal in a Park",40.8454299,-73.91397516
"191","Animal in a Park",40.76946892,-73.94993716
"202","Animal in a Park",40.84376651,-73.88545367
"210","Animal in a Park",40.80301278,-73.91737834
"212","Animal in a Park",40.65850288,-73.8445468
"213","Animal in a Park",40.85679723,-73.88991739
"217","Animal in a Park",40.83268605,-73.93967743
"219","Animal in a Park",40.85212858,-73.93781992
"224","Animal in a Park",40.68180335,-73.90851484
"232","Animal in a Park",40.58895468,-74.16759048
"234","Animal in a Park",40.7261099,-73.97426871
"235","Animal in a Park",40.78994013,-73.98035801
"242","Animal in a Park",40.79423679,-73.96280457
"245","Animal in a Park",40.72228213,-73.9801687
"256","Animal in a Park",40.70435215,-74.00610973
"262","Animal in a Park",40.68285206,-73.9727855
"264","Animal in a Park",40.76281824,-73.87419656
"273","Animal in a Park",40.81006558,-73.95496762
"278","Animal in a Park",40.70905833,-74.01696345
"280","Animal in a Park",40.66822265,-73.97382603
"285","Animal in a Park",40.74710612,-73.92265186
"290","Animal in a Park",40.73303399,-73.98444127
"303","Animal in a Park",40.71153372,-73.98061918
"310","Animal in a Park",40.79658941,-73.97425591
"315","Animal in a Park",40.67237138,-73.84799326
"324","Animal in a Park",40.54883435,-74.17991118
"325","Animal in a Park",40.68106015,-73.99652797
"338","Animal in a Park",40.74375162,-73.95936829
"342","Animal in a Park",40.70986795,-73.91117796
"348","Animal in a Park",40.66644433,-73.89344688
"350","Animal in a Park",40.7756063,-73.94427843
"352","Animal in a Park",40.63656972,-74.03660312
"362","Animal in a Park",40.57526084,-73.96889125
"363","Animal in a Park",40.7596199,-73.9619648
"367","Animal in a Park",40.7012432,-73.77135363
"373","Animal in a Park",40.8139264,-73.84995675
"382","Animal in a Park",40.72301931,-74.00527085
"383","Animal in a Park",40.72972315,-73.95924335
"392","Animal in a Park",40.64911954,-73.83738647
"396","Animal in a Park",40.83646959,-73.93702505
"398","Animal in a Park",40.58174449,-73.95383635
"400","Animal in a Park",40.68962075,-73.9731253
"401","Animal in a Park",40.74367601,-73.88709815
"406","Animal in a Park",40.63695463,-74.11754937
"407","Animal in a Park",40.65524218,-73.97208677
"452","Animal in a Park",40.76280713,-73.99315572
"461","Animal in a Park",40.63598488,-74.03724413
"468","Animal in a Park",40.75070732,-73.82321418
"469","Animal in a Park",40.5624051,-74.13094694
"472","Animal in a Park",40.68016972,-73.93150139
"482","Animal in a Park",40.77425088,-73.94526522
"486","Animal in a Park",40.72737577,-73.90311975
"490","Animal in a Park",40.78106247,-73.94941932
